Artist,Album,Track,Duration
Camila Cabello,Havana,Havana,3:36
Fármacos,Los Días Más Largos,Lo Que Hacemos Sin Mirar,3:36
Miranda!,Sin Restricciones,Don,3:03
Robyn,Body Talk Pt. 1,None of Dem,5:13
Dua Lipa,Dua Lipa (Deluxe),IDGAF,3:38
Britney Spears,Glory (Deluxe Version),Do You Wanna Come Over?,3:22
Panic! at the Disco,Live In Chicago,But It's Better If You Do - Live In Chicago,3:49
Panic! at the Disco,A Fever You Can't Sweat Out,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,3:20
Death Cab for Cutie,Codes and Keys (Deluxe),Stay Young Go Dancing,2:50
Phoenix,It's Never Been Like That (Deluxe Version),Consolation Prizes,3:16
Dënver,Fuera de Campo,torneo local,4:33
Miranda!,Sin Restricciones,Traición,3:01
Miranda!,Sin Restricciones,Yo te diré,3:26
Vampire Weekend,Contra,Giving up the Gun,4:46
Demi Lovato,Confident (Deluxe Edition),Cool for the Summer,3:35
Nicki Minaj,Pink Friday ... Roman Reloaded (Deluxe),Starships,3:31
Lily Allen,Trigger Bang (feat. Giggs),Trigger Bang (feat. Giggs),3:32
Grimes,Art Angels,California,3:18
J Balvin,Machika,Machika,3:02
Planeta No,Odio,Sol a Sol,3:14
Taylor Swift,Red,We Are Never Ever Getting Back Together,3:11
Ariana Grande,nO TEArs lEft to cRy,No Tears Left To Cry,3:25
David Guetta,Like I Do,Like I Do,3:22
Astrid S,FourFiveSeconds (Live From Studio),FourFiveSeconds - Live From Studio,3:18
Rita Ora,ORA,Uneasy,3:02
Charli XCX,Boys,Boys,2:40
Taylor Swift,Reputation,Look What You Made Me Do,3:31
Ariana Grande,My Everything (Deluxe),Break Free,3:35
Kelly Clarkson,Breakaway,Since U Been Gone,3:08
One Direction,Up All Night,Up All Night,3:12
Taylor Swift,1989 (Deluxe),Out of the Woods,3:55
Teleradio Donoso,bailar y llorar,Amar en el campo,3:57
Gepe,Estilo Libre,TKM,3:10
Javiera Mena,Intuición,Intuición,3:54
Alex Anwandter,Amiga,Amiga,3:33
Death Cab for Cutie,Codes and Keys (Deluxe),You Are a Tourist,4:47
Tegan and Sara,Heartthrob,Closer,3:29
Modest Mouse,Good News For People Who Love Bad News,Float On,3:32
The New Pornographers,Brill Bruisers,Wide Eyes,2:56
Phantom Planet,The Guest,California - Tchad Blake Mix,3:14
Britney Spears,Blackout,Break the Ice,3:16
Fármacos,Estado de Gracia,Visitarte,2:37
Phoenix,It's Never Been Like That (Deluxe Version),Long Distance Call,3:04
Miranda!,Es Mentira,Agua,4:44
Black Kids,I'm Not Gonna Teach Your Boyfriend How To Dance With You,I'm Not Gonna Teach Your Boyfriend How to Dance With You,3:38
Peter Bjorn and John,Writer's Block,Young Folks,4:39
Modest Mouse,We Were Dead Before The Ship Even Sank,Dashboard,4:06
Death Cab for Cutie,Transatlanticism,Title and Registration,3:39
Christina Aguilera,Christina Aguilera,Genie in a Bottle,3:36
Britney Spears,Britney (Digital Deluxe Version),I'm Not a Girl Not Yet a Woman,3:51
Missy Elliott,Miss E...So Addictive,Get Ur Freak On,3:53
Death Cab for Cutie,Kintsugi,Little Wanderer,4:20
Babyshambles,Down In Albion (International Edition),Fuck Forever,4:37
Death Cab for Cutie,Kintsugi,Black Sun,4:09
Death Cab for Cutie,The Photo Album,Styrofoam Plates,5:24
Death Cab for Cutie,Transatlanticism,A Lack of Color,3:36
Britney Spears,The Essential Britney Spears,Toxic - Remastered,3:19
Javiera Mena,Mena,Sufrir,3:45
Babyshambles,Down in Albion,La Belle et la Bête,5:05
The Cure,Greatest Hits,Inbetween Days,2:55
Ellie Goulding,Halcyon Days,Lights,3:31
The Postal Service,Give Up,We Will Become Silhouettes,4:57
Christina Aguilera,Mi Reflejo,Ven Conmigo (Solamente Tú),3:11
Christina Aguilera,Mi Reflejo,El Beso del Final,4:42
Christina Aguilera,Mi Reflejo,Una Mujer,3:15
Christina Aguilera,Mi Reflejo,Falsas Esperanzas,2:57
Dua Lipa,Dua Lipa (Deluxe),New Rules,3:27
Missy Elliott,Under Construction,Work It,4:23
Gepe,GP,En La Naturaleza (4-3-2-1-0),3:22
Gepe,Audiovisión,Por la Ventana,3:12
Javiera Mena,Otra Era,Otra Era,4:05
Kelis,Tasty,Milkshake,3:05
Miranda!,Sin Restricciones,El profe,2:56
Death Cab for Cutie,Plans,Soul Meets Body,3:50
Santana,Supernatural (Remastered),Smooth,4:56
Lily Allen,Sheezus,Take My Place,3:32
Lily Allen,Sheezus,Sheezus,3:54
Lily Allen,Sheezus,Hard Out Here,3:33
Lily Allen,It's Not Me It's You [Special Edition],The Fear (Acoustic),3:25
Nelly Furtado,Loose (International Version),Promiscuous,4:01
Ke$ha,Animal,TiK ToK,3:22
Madonna,The Immaculate Collection,Express Yourself,4:04
Daddy Yankee,Talento De Barrio,Pose,3:37
Gwen Stefani,The Sweet Escape (International Version),The Sweet Escape,4:06
Lana Del Rey,Born to Die - The Paradise Edition,National Anthem,3:51
Lana Del Rey,Born to Die - The Paradise Edition,Born to Die,4:46
Ke$ha,Animal,Your Love Is My Drug,3:07
Miami Horror,Illumination,Holidays (feat. Alan Palomo),4:28
No Doubt,Rock Steady [UK Version (Ltd.)],Underneath It All,5:02
The Weeknd,Starboy,Starboy,3:50
Death Cab for Cutie,Transatlanticism (10th Anniversary Edition),The Sound of Settling,2:12
Britney Spears,Glory (Deluxe Version),Slumber Party feat. Tinashe,3:40
Phoenix,Wolfgang Amadeus Phoenix,1901,3:44
Gepe,Audiovisión,Alfabeto,4:07
Locomia,Grandes Éxitos,R S M (Rumba Samba Mambo),3:51
Miranda!,Sin Restricciones,El agente,2:47
Lana Del Rey,West Coast,West Coast,4:17
Lana Del Rey,Born To Die (Bonus Track Version),Blue Jeans,3:29
Javiera Mena,Otra Era,Que me tome la noche,3:28
One Direction,Up All Night,More Than This,3:47
One Direction,Up All Night,One Thing,3:17
One Direction,Take Me Home: Yearbook Edition,Kiss You,3:04
One Direction,Take Me Home: Yearbook Edition,Little Things,3:40
One Direction,Take Me Home: Yearbook Edition,Live While We're Young,3:20
Natasha Bedingfield,Strip Me Away,Pocketful of Sunshine,3:06
Lana Del Rey,Born to Die - The Paradise Edition,Cola,4:21
M.I.A.,Matangi,Bad Girls,3:49
La Roux,La Roux,Bulletproof,3:27
CHVRCHES,The Bones of What You Believe (Special Edition),The Mother We Share,3:12
Phoenix,It's Never Been Like That (Deluxe Version),Second To None,3:25
Gepe,GP,Bacán tu casa,4:19
Javiera Mena,Mena,Acá Entera,3:29
Kings of Leon,Walls,Waste A Moment,3:03
Black Kids,Partie Traumatic,Hurricane Jane,4:33
Foals,What Went Down,Mountain At My Gates,4:04
Franz Ferdinand,You Could Have It So Much Better,Do You Want To,3:38
The Kooks,The Best Of... So Far,Is It Me,3:30
Bloc Party,Four (Deluxe Version),Ratchet,3:18
Broken Bells,Broken Bells,The Ghost Inside,3:18
Lorde,Pure Heroine,Tennis Court,3:18
Lana Del Rey,Honeymoon,Honeymoon,5:51
Gwen Stefani,Love Angel Music Baby (Deluxe Version),What You Waiting For?,3:41
Taylor Swift,1989,Style,3:51
The Strokes,Is This It,Hard to Explain,3:47
Modest Mouse,The Moon & Antarctica,Paper Thin Walls,3:01
Clap Your Hands Say Yeah,Clap Your Hands Say Yeah,Gimme Some Salt,2:48
The Killers,Hot Fuss (Deluxe Version),Somebody Told Me,3:17
Babyshambles,Down in Albion,What Katy Did Next,3:04
Phoenix,United,Too Young,3:17
The Dandy Warhols,Chauncey P vs All the Girls in London,Chauncey P vs All the Girls in London,2:41
The Enemy,We'll Live and Die In These Towns,We'll Live And Die In These Towns,3:55
Kaiser Chiefs,Yours Truly Angry Mob,Ruby,3:25
Peter Bjorn and John,Breakin' Point,Between The Lines,3:02
Spoon,They Want My Soul,New York Kiss,3:27
Black Kids,Rookie,If My Heart Is Broken,4:11
The Cribs,The New Fellas,We Can No Longer Cheat You,3:03
Foals,Hummer,Hummer,3:00
The Flaming Lips,Yoshimi Battles The Pink Robots (U.S. Version),Yoshimi Battles The Pink Robots Part 1,4:45
Franz Ferdinand,Franz Ferdinand,Take Me Out,3:57
The Bravery,The Sun And The Moon,Time Won't Let Me Go,3:50
TV on the Radio,Dear Science,Dancing Choose,2:56
Bloc Party,Silent Alarm (U.S. Version),Banquet,3:18
The Shins,Wincing the Night Away,Australia,3:56
MGMT,Little Dark Age,Hand It Over,4:13
The Kooks,Be Who You Are,Be Who You Are,3:54
Phoenix,Ti Amo,J-Boy,4:07
Friendly Fires,Friendly Fires,Paris (Aeroplane Remix),7:45
The Dandy Warhols,Welcome to the Monkey House,We Used to Be Friends,3:19
Vampire Weekend,Vampire Weekend,Campus,2:55
Death Cab for Cutie,Transatlanticism,Lightness,3:30
Javiera Mena,Mena,Luz de Piedra de Luna,4:32
The Dandy Warhols,Thirteen Tales from Urban Bohemia,Bohemian Like You,3:31
Red Wire Black Wire,Compass EP,Locked Out,2:54
Guided by Voices,Human Amusements At Hourly Rates - The Best Of Guided By Voices,Game of Pricks,2:47
Lily Allen,Sheezus,Insincerely Yours,3:39
Gwen Stefani,This Is What the Truth Feels Like,Misery,3:26
Selena Gomez,Revival (Deluxe),Hands to Myself,3:21
Glup!,Glup! 1999,freebola,3:14
Christina Aguilera,Keeps Gettin' Better: A Decade of Hits,Candyman,3:14
Spoon,Music From The O.C. Mix 1,The Way We Get By,2:40
Javiera Mena,Otra Era,La Carretera,4:49
Miranda!,Sin Restricciones,Tu gurú,3:14
Los Prisioneros,Corazones,Amiga Mía,4:01
Gwen Stefani,This Is What the Truth Feels Like,Rare,3:55
Alex Anwandter,Rebeldes,Tormenta,5:25
Iggy Azalea,The New Classic (Deluxe Version),Fancy,3:18
Lily Allen,Sheezus (Special Edition),As Long as I Got You,3:23
Spice Girls,Spice,Who Do You Think You Are,3:59
Miranda!,743,743,3:26
Britney Spears,The Essential Britney Spears,Radar - Remastered,3:49
Jessie J,my everything (deluxe),Bang Bang,3:18
Fergie,Double Dutchess,L.A.LOVE (la la) [feat. YG],3:31
Good Shoes,No Hope No Future (Bonus Tracks Version),Easier Easier,4:08
Britney Spears,Britney Jean (Deluxe Version),Work B**ch,4:08
Fármacos,Belleza,Belleza,4:04
Planeta No,Matucana - EP,Señorita,3:36
Javiera Mena,Otra Era,Esa fuerza,4:33
Raffaella carrà,Grandes Exitos,CALIENTE CALIENTE,2:36
Phoenix,Ti Amo,Goodbye Soleil,3:56
Javiera Mena,Esquemas juveniles,Cuando hablamos,4:28
Miami Horror,Real Slow,Real Slow,5:00
Alex Anwandter,Rebeldes,Cómo Puedes Vivir Contigo Mismo?,4:21
Taylor Swift,1989,Wildest Dreams,3:40
One Direction,Midnight Memories (Deluxe),Best Song Ever,3:20
Taylor Swift,1989 (Deluxe),Blank Space,3:51
Lady Gaga,The Fame (Revised International Version),Just Dance,4:02
Yellowcard,Ocean Avenue,Ocean Avenue,3:18
t.A.T.u.,t.A.T.u. - The Best,All the Things She Said,3:34
Gepe,GP,Con Un Solo Zapato No Se Puede Caminar,2:45
Ra Ra Riot,Water,Water,4:40
Blur,Blur: The Best Of,Girls & Boys,4:20
MGMT,Oracular Spectacular,Time to Pretend,4:21
The Kooks,Inside In / Inside Out,Naïve,3:22
Ellie Goulding,Halcyon Days,Burn,3:52
The Veronicas,Hook Me Up (US Version),Untouched,4:14
Miley Cyrus,Party in the U.S.A.,Party in the U.S.A.,3:22
Death Cab for Cutie,Plans,Summer Skin,3:14
Death Cab for Cutie,Narrow Stairs,Cath...,3:49
Death Cab for Cutie,Narrow Stairs,I Will Possess Your Heart,8:04
Death Cab for Cutie,Codes and Keys,Codes And Keys,3:21
Vampire Weekend,Vampire Weekend,Oxford Comma,3:15
Brand New,Science Fiction,137,5:02
Jimmy Eat World,Bleed American (Deluxe Edition),The Middle,2:45
Death Cab for Cutie,Transatlanticism,We Looked Like Giants,5:32
Death Cab for Cutie,Plans,Marching Bands of Manhattan,4:12
Death Cab for Cutie,Plans,Crooked Teeth,3:25
Death Cab for Cutie,Plans,I Will Follow You Into The Dark,3:09
Death Cab for Cutie,Plans,Start Again,2:38
Death Cab for Cutie,Plans,Bad Reputation,4:15
Death Cab for Cutie,Plans,What Sarah Said,6:20
Death Cab for Cutie,Plans,Brothers on a Hotel Bed,4:31
Death Cab for Cutie,Plans,Someday You Will Be Loved,3:11
Death Cab for Cutie,Plans,Different Names for the Same Thing,5:08
Death Cab for Cutie,Plans,Stable Song,3:42
Death Cab for Cutie,Plans,Your Heart Is an Empty Room,3:39
Death Cab for Cutie,The Photo Album,We Laugh Indoors,4:58
Raffaella carrà,Fiesta,0303456 - 1999 vrs,3:20
Planeta No,Matucana,Ya No Veo Mis Zapatos,3:09
Paquita La Del Barrio,Mi Historia - Paquita la del Barrio,RATA DE DOS PATAS,3:36
Rihanna,Loud,What's My Name?,4:24
Lily Allen,Higher,Higher,4:08
Pet Shop Boys,Yes,Did You See Me Coming?,3:41
Panic! at the Disco,Live In Chicago,I Write Sins Not Tragedies - Live In Chicago,3:17
Gepe,Estilo Libre,Hambre,5:15
Britney Spears,The Essential Britney Spears,My Prerogative - Remastered,3:34
The Cribs,Men's Needs Women's Needs Whatever (Standard Version),Men's Needs,3:16
Miranda!,El Disco De Tu Corazón,Hola,3:05
Christina Aguilera,Stripped,Fighter,4:05
Julieta Venegas,Limón y Sal,Eres para mí,3:13
Miranda!,Sin Restricciones,Uno los dos,3:44
Miranda!,Sin Restricciones,Otra vez,3:03
Miranda!,Sin Restricciones,Quiero,3:45
Miranda!,Sin Restricciones,Hoy,3:18
Lorde,Melodrama,Green Light,3:54
Ellie Goulding,Delirium (Deluxe),On My Mind,3:33
Jason Derülo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Swalla (feat. Nicki Minaj & Ty Dolla $ign),3:35
Death Cab for Cutie,Transatlanticism,Tiny Vessels,4:22
Death Cab for Cutie,Transatlanticism,The New Year,4:08
CHVRCHES,Get Out,Get Out,3:07
will.i.am,Madagascar: Escape 2 Africa - Music From The Motion Picture,I Like To Move It,3:41
Miranda!,Sin Restricciones,Navidad,3:11
Lorde,Pure Heroine,Team,3:13
Iggy Azalea,Reclassified,Bounce,2:47
Carly Rae Jepsen,Kiss,Call Me Maybe,3:14
Spice Girls,Spice,Wannabe - Radio Edit,2:53
Ke$ha,Animal,Blah Blah Blah,2:52
Pedropiedra,Cripta y Vida,Vacaciones en el más allá,3:52
Britney Spears,Britney (Digital Deluxe Version),I'm a Slave 4 U,3:23
Robyn,Body Talk Pt. 1,Dancing on My Own,3:38
Madonna,Rebel Heart (Deluxe),Bitch I'm Madonna (feat. Nicki Minaj),3:47
Girls Aloud,Ten (Deluxe Edition),Something New,3:22
Lily Allen,Alright Still [Deluxe],Naïve - BBC Radio 1's Jo Whiley's Live Lounge,3:45
Gwen Stefani,Love Angel Music Baby,Rich Girl,3:56
Alessia Cara,Know-It-All (Deluxe),Here,3:19
Astrid S,Astrid S,Hurts So Good,3:28
David Guetta,One More Love [Spotify Sampler],Who's That Chick ? (feat. Rihanna) [Single Version],2:46
Katy Perry,Teenage Dream,Last Friday Night (T.G.I.F.),3:50
Nicki Minaj,The Pinkprint (International Deluxe Explicit),Anaconda,4:20
Vampire Weekend,Vampire Weekend,A-Punk,2:17
Death Cab for Cutie,Narrow Stairs,No Sunlight,2:40
Death Cab for Cutie,Transatlanticism,Transatlanticism,7:55
Death Cab for Cutie,Transatlanticism,Expo '86,4:11
Death Cab for Cutie,Transatlanticism,Passenger Seat,3:41
Death Cab for Cutie,Transatlanticism,Death of an Interior Decorator,2:56
Britney Spears,The Essential Britney Spears,Gimme More - Remastered,4:11
Javiera Mena,Esquemas juveniles,Sol de invierno,4:24
Britney Spears,The Essential Britney Spears,Break the Ice - Remastered,3:16
Britney Spears,The Essential Britney Spears,From the Bottom of My Broken Heart - Radio Edit - Remastered,4:34
Britney Spears,The Essential Britney Spears,Oops!...I Did It Again - Remastered,3:30
Lily Allen,Sheezus (Special Edition),L8 CMMR,3:26
The Pussycat Dolls,Doll Domination (Revised International Version),When I Grow Up,4:05
Echo & the Bunnymen,Songs to Learn & Sing,Bring On The Dancing Horses,3:58
The B-52's,Cosmic Thing,Junebug,5:04
Alphaville,Forever Young,Fallen Angel,3:55
A Flock of Seagulls,Playlist: The Very Best of A Flock of Seagulls,I Ran (So Far Away),5:02
Blondie,Atomic/Atomix,The Tide Is High,4:28
Soft Cell,Non-Stop Erotic Cabaret,Tainted Love,2:56
Pulp,Different Class,Mis-Shapes,3:46
Morrissey,Viva Hate [2011 - Remaster] (2011 Remastered Version),Everyday Is Like Sunday - 2011 Remastered Version,3:35
The Cure,Kiss Me Kiss Me Kiss Me,Just Like Heaven,3:18
a-ha,Hunting High and Low,Take on Me,3:46
Pet Shop Boys,Super,The Pop Kids,3:55
Death Cab for Cutie,Codes and Keys (Deluxe),Underneath the Sycamore,3:24
Britney Spears,Britney (Digital Deluxe Version),Overprotected - Radio Edit,3:18
Phoenix,Wolfgang Amadeus Phoenix,Girlfriend,3:24
Girls Aloud,Ten,Jump,3:39
Gwen Stefani,Love Angel Music Baby,Hollaback Girl,3:19
Cher,Cher's Greatest Hits: 1965-1992,The Shoop Shoop Song (It's in His Kiss),2:48
Lily Allen,It's Not Me It's You [Special Edition],Him,3:18
Lily Allen,Alright Still,Friend of Mine,3:57
Britney Spears,Blackout,Gimme More,4:11
Jennifer Lopez,Booty,Booty,3:23
Mariah Carey,E=MC²,Touch My Body,3:24
Astro,le disc de astrou,drogas mágicas,2:41
Nicole,Panal,Pequeñas Cosas Buenas,4:28
The Cure,Bestival Live 2011,Inbetween Days (Bestival Live 2011),2:58
Death Cab for Cutie,Narrow Stairs,You Can Do Better Than Me,1:59
Lily Allen,It's Not Me It's You [Special Edition],22,3:06
Billy Joel,The Essential Billy Joel,Uptown Girl,3:12
Lily Allen,It's Not Me It's You [Special Edition],Not Fair,3:21
The All-American Rejects,When the World Comes Down,Gives You Hell,3:34
The Pains of Being Pure at Heart,Heart in Your Heartbreak,Heart in Your Heartbreak,3:45
Teleradio Donoso,bailar y llorar,Bailar y Llorar,3:49
Death Cab for Cutie,Codes and Keys (Deluxe),Some Boys,3:11
CHVRCHES,Never Say Die,Never Say Die,4:23
Rooney,Rooney,Sorry Sorry,3:07
Panic! at the Disco,A Fever You Can't Sweat Out,Time to Dance,3:21
Death Cab for Cutie,Kintsugi,The Ghosts of Beverly Drive,4:04
Gepe,Audiovisión,Un Día Ayer,4:09
Alex Anwandter,Amiga,Manifiesto,3:29
Death Cab for Cutie,We Have the Facts and We're Voting Yes,For What Reason,2:52
Destiny's Child,Survivor,Survivor,3:49
Britney Spears,Oops!... I Did It Again,Lucky,3:25
Lily Allen,It's Not Me It's You,The Fear,3:27
The Veronicas,On Your Side,On Your Side,2:51
Girls Aloud,Ten (Deluxe Edition),Biology,3:37
Rihanna,Good Girl Gone Bad: Reloaded,Disturbia,3:58
Destiny's Child,The Writing's on the Wall,Say My Name,4:00
Death Cab for Cutie,Codes and Keys (Deluxe),Monday Morning,4:18
Death Cab for Cutie,Codes and Keys (Deluxe),Unobstructed Views,6:10
Death Cab for Cutie,Codes and Keys (Deluxe),St. Peter's Cathedral,4:30
Death Cab for Cutie,Codes and Keys (Deluxe),Home Is A Fire,4:04
Madonna,Celebration (double disc version),Vogue,5:16
Alex Anwandter,Amiga,Intentarlo Todo de Nuevo,4:28
Taylor Swift,1989,All You Had to Do Was Stay,3:13
Javiera Mena,Otra Era,Pide,3:28
No Doubt,Tragic Kingdom,Just a Girl,3:29
Yeah Yeah Yeahs,It's Blitz!,Heads Will Roll,3:42
The Pussycat Dolls,Hip Hop: The Collection 2008 [(Double) International Version],Don't Cha,4:32
The Postal Service,Give Up,Such Great Heights,4:26
Alex Anwandter,Rebeldes,Como una Estrella,3:53
Phoenix,Lisztomania,Lisztomania,4:02
Alex Anwandter,Rebeldes,Tatuaje,3:58
Shakira,MTV Unplugged,Ojos Así - En Vivo,6:50
Gepe,GP,Platina,3:39
Pulp,This Is Hardcore Deluxe Edition (2 CD ),Like A Friend,3:58
Dënver,Fuera de Campo,Revista De Gimnasia,3:52
Rooney,Rooney,I'm A Terrible Person,2:46
Mumm-Ra,What Would Steve Do?,What Would Steve Do?,2:50
Miranda!,Magistral,Tucán,3:13
The 1975,I Like It When You Sleep For You Are So Beautiful Yet So Unaware Of It,The Sound,4:08
Britney Spears,Glory (Deluxe Version),Make Me... (feat. G-Eazy),3:59
Miguel Bosé,Miguel,Don Diablo,3:45
Margaret Whiting,Grace and Frankie (Original Television Soundtrack),A Bushel And A Peck,2:02
The New Birth,The Very Best Of The,It's Impossible,3:25
Fifth Harmony,Fifth Harmony,Bridges,4:03
The Bravery,An Honest Mistake (Int'l ECD Maxi),An Honest Mistake,3:41
TV on the Radio,Young Liars,Young Liars,5:12
Bridgit Mendler,Atlantis (feat. Kaiydo),Atlantis (feat. Kaiydo),3:49
Jason Derülo,Tip Toe (feat. French Montana),Tip Toe (feat. French Montana),3:07
Sara Bareilles,Kaleidoscope Heart,Gonna Get Over You,4:16
Christina Aguilera,Stripped,Dirrty,4:58
Madonna,Celebration (double disc version),Don't Tell Me,4:40
Cher Lloyd,Sticks & Stones,Grow Up,3:00
Paris Hilton,Paris (U.S. Standard Version),Nothing in This World,3:10
Carly Rae Jepsen,Tug of War,Tug of War,3:45
Ciara,Goodies,Goodies,3:42
Natalia Kills,Trouble,Daddy's Girl,3:33
Charli XCX,Sucker,Boom Clap,2:50
Rihanna,Anti (Deluxe),Work,3:39
Ashley Tisdale,Headstrong,Be Good to Me,3:33
Sara Bareilles,Little Voice,Love Song,4:21
Nicki Minaj,Pink Friday,Super Bass,3:12
Rooney,When Did Your Heart Go Missing? (UK Version),When Did Your Heart Go Missing?,3:31
The Shins,Port of Morrow,Simple Song,4:15
The Walkmen,Everyone Who Pretended to Like Me Is Gone,We've Been Had,3:19
Stars,There Is No Love in Fluorescent Light,Fluorescent Light,3:48
Broken Social Scene,Broken Social Scene,Fire Eye'd Boy,3:58
Bright Eyes,Letting Off the Happiness,Touch,3:42
Phantom Planet,Raise the Dead,Do the Panic,3:02
Nada Surf,The O.C. Vol. 2 (U.S. Version),If You Leave,4:50
Guided by Voices,Bee Thousand,Tractor Rape Chain,3:05
Stars,The Five Ghosts,Dead Hearts,3:29
The New Pornographers,Challengers,Myriad Harbour,4:00
The Get Up Kids,Eudora,Close To Me,3:24
Youth Group,Casino Twilight Dogs,Sorry,3:29
The Academy Is...,Fast Times At Barrington High,About a Girl,3:39
Never Shout Never,Me And My Uke,Did It Hurt,2:04
Cher,Believe,Believe,4:00
Christina Aguilera,Mi Reflejo,Genio Atrapado,3:38
Glup!,Wellcome Polinesia,Grado 3,3:52
Astro,le disc de astrou,le golden ballon,2:01
Javier Barría,Folclor,Nuestro Folclor,2:51
Odisea,Odisea,Casa latina,6:32
Javiera Mena,Dentro de ti,Dentro de ti,3:41
OneRepublic,Dreaming Out Loud (International Version),Apologize,3:28
Rihanna,Good Girl Gone Bad,Umbrella,4:07
Lady Gaga,The Fame (Revised International Version),Poker Face,3:57
Vanessa Carlton,Be Not Nobody,A Thousand Miles,3:58
Britney Spears,In the Zone,Toxic,3:19
Lady Gaga,The Fame Monster (Explicit Version),Bad Romance,4:54
blink-182,Top Of The Pops 1995 - 2000,All the Small Things,2:48
Rihanna,Rated R,Rude Boy,3:44
Katy Perry,One of the Boys,I Kissed a Girl,3:00
Beyoncé,Dangerously in Love,Crazy in Love,3:55
Busted,Busted (International version),Year 3000,3:17
Dizzee Rascal,Tongue N' Cheek (Dirtee Deluxe Edition),Dance Wiv Me,3:24
OutKast,Speakerboxxx/The Love Below,Hey Ya! - Radio Mix / Club Mix,3:55
Shakira,Oral Fixation Vol. 2,Hips Don't Lie,3:40
Taylor Swift,Red,I Knew You Were Trouble,3:39
Taylor Swift,1989,Shake It Off,3:39
The Weeknd,Beauty Behind the Madness,Can't Feel My Face,3:36
Death Cab for Cutie,The Photo Album,I Was a Kaleidoscope,2:50
Death Cab for Cutie,The Photo Album,A Movie Script Ending,4:19
Lady Gaga,JOANNE (Deluxe),Million Reasons,3:25
White Lies,Ritual,Bigger Than Us,6:38
Vampire Weekend,Vampire Weekend,Cape Cod Kwassa Kwassa,3:33
The Libertines,The Libertines,The Man Who Would Be King,3:59
Alex Anwandter,Amiga,Siempre Es Viernes en Mi Corazón,3:39
Pedropiedra,Pedropiedra,Las niñas quieren,3:25
Nicki Minaj,The Pinkprint (International Deluxe Explicit),Pills N Potions,4:27
Kaiser Chiefs,Employment (B-Unique Version),Everyday I Love You Less and Less,3:37
Stars,There Is No Love in Fluorescent Light,Wanderers,4:01
The Get Up Kids,Music From The WB Television Series One Tree Hill (change in 1 track bundle status),Overdue,2:59
Rilo Kiley,Under The Blacklight (Standard Version),The Moneymaker,2:52
Phantom Planet,The Guest,Always on My Mind,3:27
Guided by Voices,Space Gun,Hudson Rake,1:44
Alex Anwandter,Amiga,Mujer,4:21
Justin Timberlake,Justified,Cry Me a River,4:48
Mika,Life in Cartoon Motion,Grace Kelly,3:08
Pedropiedra,Pedropiedra,Soy El Ring,3:11
Taylor Swift,1989 (Deluxe),Bad Blood,3:31
Fountains of Wayne,Welcome Interstate Managers,Stacy's Mom,3:18
Florence + the Machine,Between Two Lungs,You've Got the Love,2:49
The Killers,Hot Fuss (Deluxe Version),Mr. Brightside,3:53
Rihanna,Good Girl Gone Bad,Don't Stop the Music,4:29
Amy Winehouse,Back to Black,Rehab,3:34
Taio Cruz,The Rokstarr Hits Collection,Dynamite,3:23
Rihanna,Loud,S&M,4:03
Kelly Clarkson,Breakaway,Because of You,3:39
Jordin Sparks,Jordin Sparks,One Step at a Time,3:25
