Artist,Album,Track,Duration
Madonna,Celebration (double disc version),Celebration,7:25
Marina & the Diamonds,The Family Jewels,Oh No!,3:02
tUnE-yArDs,Nikki Nack,Water Fountain,3:03
Sugababes,Change (NON EA VERSION),About You Now,3:32
Lily Allen,It's Not Me It's You [Special Edition],22 (Acoustic),3:08
Dënver,Totoral,Miedo a Toparme Contigo,4:06
Primal Scream,Evil Heat,Some Velvet Morning,3:50
Palito Ortega,Palito y Sus Inolvidables Canciones,Despeinada (Remastered),2:34
Yelle,Pop Up,Tu Es Beau,5:47
Yelle,Complètement Fou,Complètement Fou,3:52
Yelle,Pop Up,Je Veux Te Voir,4:21
Fergie,The Dutchess,Big Girls Don't Cry (Personal),4:16
Rita Ora,I Will Never Let You Down,I Will Never Let You Down,3:23
Lana Del Rey,Paradise,Blue Velvet,2:39
Lana Del Rey,Ultraviolence (Deluxe),Old Money,4:31
Lana Del Rey,Born to Die,Summertime Sadness,4:25
Britney Spears,The Singles Collection,Overprotected - Album Version - 2009 Remaster,3:19
Britney Spears,The Essential Britney Spears (Remastered),Do Somethin' - Remastered,3:23
Tove Lo,Lady Wood,Cool Girl,3:19
Big Big Love,Friendship,Tibias,5:00
Denise Rosenthal,El blog de la Feña,Si Tú Me Quieres,3:04
Madonna,Sticky & Sweet Tour,Miles Away - Live Bonus Track,4:49
Madonna,Celebration,Papa Don't Preach,4:29
Madonna,Celebration,La Isla Bonita,4:02
Madonna,Celebration,Open Your Heart,4:12
Madonna,Casino Twilight Dogs,Sorry,4:54
Miranda!,Fuerte,Ahora Que Soy Cantante,3:03
Mon Laferte,Amárrame,Amárrame,3:27
Lady Gaga,JOANNE (Deluxe),Just Another Day,2:58
Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,Part of Me,3:36
t.A.T.u.,Waste Management,Running Blind,3:41
Ariana Grande,Yours Truly,Daydreamin',3:31
Gwen Stefani,This Is What the Truth Feels Like,Naughty,3:08
Fifth Harmony,Reflection (Deluxe),BO$$,2:51
Elandh,Si Me Esperas Voy,Si Me Esperas Voy,4:17
Yuri,Acompañame,Para decir adiós,4:17
Thalía,LATINA,Desde Esa Noche,3:48
The Killers,Sawdust,Tranquilize,3:45
Bloc Party,Four,Truth,3:26
Franz Ferdinand,Franz Ferdinand,The Dark of the Matinée,4:03
Kasabian,48:13 (Deluxe),(Shiva),1:07
Carly Rae Jepsen,Emotion,Your Type,3:20
Jennifer Lopez,Dance Again...The Hits,Dance Again,3:57
Kelis,Food,Bless the Telephone,2:31
Lady Gaga,Born This Way (International Special Edition Version),Scheiße,3:45
Girls Aloud,Ten (Deluxe Edition),No Good Advice,3:48
Katy Perry,PRISM (Deluxe),This Is How We Do,3:23
Janet Jackson,Janet,If,4:31
Sophie Ellis-Bextor,Read My Lips,Murder on the Dancefloor,3:37
Nelly Furtado,Whoa Nelly! (Special Edition),Turn Off the Light,4:36
Miranda!,Safari,Nadie como tú - Versión acústica,3:05
Kali Mutsa,Souvenance,El jardín,3:43
Lana Del Rey,Ultraviolence (Deluxe),Brooklyn Baby,5:52
Lana Del Rey,Born to Die - The Paradise Edition,Video Games,4:02
The Smiths,You Can Play These Songs With Chords,This Charming Man,2:43
We Are Scientists,With Love And Squalor,Lousy Reputation,2:37
Miami Horror,All Possible Futures,Wild Motion (Set It Free),5:32
Miami Horror,All Possible Futures,American Dream,3:39
Miami Horror,The Shapes,Azimba,3:46
Miami Horror,The Shapes,Trapeze,3:52
Miami Horror,The Shapes,Leila,5:18
Miami Horror,Real Slow (Remixes),Real Slow (Robotaki Remix),4:55
Miami Horror,Illumination,Echoplex (feat. MAI),4:25
Miami Horror,Illumination,Sometimes,4:14
Miami Horror,The Shapes,Sign of the Times,4:39
Miami Horror,The Shapes,Leila (En Español),3:46
Miami Horror,The Shapes,Dark Love,3:39
Justice,A Cross The Universe,D.A.N.C.E Part 2,2:40
Justice,Woman,Love S.O.S,5:04
Justice,Woman,Stop,4:57
Justice,Woman,Alakazam !,5:11
Clubfeet,Heirs & Graces,Acapulco & LA,4:35
Miami Horror,All Possible Futures,Out of Sight,4:48
Yuri,Soy Así,Yo Te Amo Te Amo,3:22
Boys Like Girls,Boys Like Girls,The Great Escape,3:36
DJ Snake,Encore,Let Me Love You,3:25
Au Pairs,Stepping Out of Line - The Anthology,It's Obvious,3:55
Fármacos,Los Días Más Largos,Nuestra Piel,3:30
Miranda!,Safari,Extraño,3:57
Madonna,Celebration (double disc version),Dress You Up,4:02
Madonna,Celebration (double disc version),Everybody,4:54
Madonna,Celebration (double disc version),Music,3:45
Madonna,Celebration (double disc version),Beautiful Stranger,4:21
Madonna,Celebration (double disc version),Miles Away,4:49
Gwen Stefani,This Is What the Truth Feels Like (Deluxe),Getting Warmer,3:24
Miami Horror,Illumination,I Look To You (feat. Kimbra),3:53
The Strokes,Is This It,Someday,3:07
Britney Spears,The Singles Collection,Thinkin' About You - 2009 Remaster,3:35
Britney Spears,Femme Fatale (Deluxe Version),Criminal,3:45
Ed Sheeran,÷ (Deluxe),Happier,3:27
Ed Sheeran,÷ (Deluxe),Bibia Be Ye Ye,2:57
Lily Allen,Alright Still,Not Big,3:16
Miami Horror,All Possible Futures,Who Is Gonna Save Us?,4:15
Miami Horror,All Possible Futures,Forever Ever?,6:05
Miami Horror,All Possible Futures,Stranger,4:16
Miami Horror,All Possible Futures,(Maybe I Need You),1:19
Miami Horror,All Possible Futures,(Happy without You),2:24
CHVRCHES,Every Open Eye (Extended Edition),Afterglow,3:14
CHVRCHES,Every Open Eye (Extended Edition),Empty Threat,3:28
CHVRCHES,Every Open Eye (Extended Edition),Playing Dead,3:36
CHVRCHES,Every Open Eye (Special Edition),Follow You,3:54
CHVRCHES,Every Open Eye (Special Edition),Leave a Trace,3:57
CHVRCHES,The Bones of What You Believe (Special Edition),Lies,6:31
CHVRCHES,Every Open Eye (Extended Edition),Never Ending Circles,3:07
CHVRCHES,Every Open Eye (Special Edition),Get Away,4:40
CHVRCHES,The Bones of What You Believe (Special Edition),Tether,4:46
Fármacos,Estado de Gracia,Eternidad,4:14
Whitney Houston,Whitney,I Wanna Dance with Somebody (Who Loves Me),4:50
Cyndi Lauper,The Best Of The 80's,Girls Just Want to Have Fun,3:55
The Libertines,Time for Heroes - The Best of the Libertines,Time for Heroes,2:40
Django Django,Django Django,Storm,3:14
Django Django,Django Django,Zumm Zumm,5:19
Hot Chip,In Our Heads (Expanded Edition),These Chains,4:15
Hot Chip,Made in the Dark,Ready for the Floor,3:53
Foals,Holy Fire,Out of The Woods,3:25
Gypsy & The Cat,Inside Your Mind,Inside Your Mind,3:45
The Knocks,HEAT (feat. Sam Nelson Harris),HEAT (feat. Sam Nelson Harris),3:52
Clubfeet,Canyons,Canyons,4:09
De Saloon,Morder,Hablar Hacia Atras,4:02
Dënver,Fuera de Campo,Tu Peor Rival,5:26
Diego Lorenzini,Tiempos Mozos,Tiempos Mozos,4:02
Justice,Cross,Stress,7:38
Justice,Visions,Genesis,3:56
Kids of 88,Just A Little Bit,Just A Little Bit,3:00
Rihanna,Talk That Talk,Where Have You Been,4:02
Mon Laferte,Mon Laferte (Vol. 1/ Edicion Especial),El Diablo,4:04
CHVRCHES,The Bones of What You Believe (Special Edition),Gun,3:53
Owl City,Ocean Eyes,The Saltwater Room,4:56
Owl City,All Things Bright and Beautiful,Alligator Sky,3:17
Owl City,Ocean Eyes,Vanilla Twilight,3:52
Soda Stereo,En el Séptimo Día (SEP7IMO DIA),En el Séptimo Día (SEP7IMO DIA),3:03
Julieta Venegas,Julieta Venegas - MTV Unplugged,Algo Esta Cambiando (Unplugged) (En Vivo),4:11
Namuel,Folclórico,Babycakes (Las Medallas),3:16
Los Jaivas,Aconcagua,Mambo de Machaguay,4:24
Miranda!,Quiero Vivir a Tu Lado,Quiero Vivir a Tu Lado,3:16
Julieta Venegas,Julieta Venegas - MTV Unplugged,Lento (Unplugged) (En Vivo),4:26
Julieta Venegas,Julieta Venegas - MTV Unplugged,Limon Y Sal (Unplugged) (En Vivo),3:41
Gepe,Estilo Libre,Invierno,3:36
Lana Del Rey,Love,Love,4:33
Portugal. The Man,Evil Friends,Atomic Man,3:49
The Police,Ghost In The Machine (Remastered),Every Little Thing She Does Is Magic,4:20
Protistas,Las Cruces,Tatuaje Conmemorativo,3:34
Protistas,bailar y llorar,Granada,4:05
Hailee Steinfeld,Haiz,Rock Bottom,3:18
Hailee Steinfeld,Starving,Starving,3:01
Miami Horror,Colours in the Sky,Colours in the Sky,4:11
Julieta Venegas,Otra Cosa,Debajo De Mi Lengua,2:41
Los Lobos,Just Another Band from East L.A.: A Collection,La Bamba,2:48
Kate Nash,Made of Bricks,Dickhead,3:43
Mystery Jets,Serotonin,Serotonin,3:17
Drake,Views,One Dance,2:54
Rihanna,Talk That Talk (Deluxe Explicit Edition),We Found Love (feat. Calvin Harris),3:35
Selena Gomez,Stars Dance,Come & Get It,3:51
Nouvelle Vague,Best of Blondie,Heart of Glass,3:34
Nouvelle Vague,Best Of,Ever Fallen in Love,3:19
The Ettes,Do You Want Power,Take It With You,3:24
Timbaland,Shock Value (UK Version),Scream,5:41
Motörhead,Ace Of Spades (Reissue - Expanded Bonus Track Edition),Ace of Spades,3:08
Max Richter,Blue Notebooks,Organum,3:13
NSM PSM,Metal Disco,Metal Disco,5:34
Edgar Van De Wingard,Planet Snorkel,Saviour,3:52
The Ettes,Look At Life Again Soon,Crown Of Age,2:15
Susanna and the Magical Orchestra,List of Lights and Buoys,Believer,3:26
Twin Shadow,Five Seconds,Five Seconds,4:20
Kendrick Lamar,good kid m.A.A.d city,Money Trees,6:26
Ke$ha,Warrior (Deluxe Version),Warrior,4:00
Phantogram,Fall in Love,Fall in Love,3:44
Sleigh Bells,Treats,Crown on the Ground,3:49
The War on Drugs,Lost in the Dream,Under the Pressure,8:51
Ruth Anna Mendoza,Midnight Memories (Deluxe),Best Song Ever,3:05
Hayley Kiyoko,This Side of Paradise - EP,Girls Like Girls,3:49
Paulina Rubio,Paulina,Y Yo Sigo Aqui,4:12
Daniela Romo,Celebridades- Daniela Romo,Yo No Te Pido La Luna (Non Voglio Mica La Luna),3:52
La La Land Cast,La La Land (Original Motion Picture Soundtrack),Another Day of Sun,3:48
Yuri,Soy Libre,El Apagón - Ver. Radio Mix,3:33
CHVRCHES,The Bones of What You Believe (Special Edition),Recover,3:44
Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,Firework,3:47
Denise Rosenthal,Fiesta (Deluxe Edition),I Wanna Give My Heart,3:21
Disclosure,Settle (Deluxe),Defeated No More (feat. Ed Macfarlane),6:08
Carly Rae Jepsen,Kiss,This Kiss,3:48
Rita Ora,ORA Deluxe,Facemelt,1:32
Carly Rae Jepsen,Kiss,Curiosity,3:35
Ariana Grande,Dangerous Woman,Into You,4:04
Eminem,Eminem Presents The Re-Up,You Don't Know,4:18
NEIKED,Sexual,Sexual,2:48
Major Lazer,List of Lights and Buoys,Believer,3:45
Sonic Youth,Dirty,100%,2:28
Sonic Youth,If I Were A Carpenter,Superstar,4:06
Nicole Reynolds,Wolves Won't Eat Us,The Only Ones,3:09
Capital Cities,In a Tidal Wave of Mystery (Deluxe Edition),Safe and Sound,3:12
Namuel,Folclórico,El Amor es Desigual,2:56
Lorde,Pure Heroine,Royals,3:10
Miranda!,Safari,Fotos - Versión acústica,2:34
Dizzee Rascal,HYPE,Hype,3:31
Calvin Harris,My Way,My Way,3:40
Taolo,1989,Wildest Dreams,3:51
Lana Del Rey,Ultraviolence (Hook N Sling Remix),Ultraviolence - Hook N Sling Remix,4:37
Pet Shop Boys,The Guest,Always on My Mind,3:54
Upa!,Grandes Exitos,Cuando Vuelvas - 2002 Digital Remaster,3:16
Julieta Venegas,Otra Cosa,Amores Platónicos,2:37
Namuel,Folclórico,Corazón Pixelado,3:03
Fármacos,Abril,Post Folk,4:20
Gwen Stefani,This Is What the Truth Feels Like,Send Me a Picture,3:35
Britney Spears,The Essential Britney Spears (Remastered),Circus - Remastered,3:12
Namuel,Folclórico,Lucha Libre,4:35
Shakira,Grandes Exitos,Inevitable,3:13
Dillon Francis,Anywhere,Anywhere,2:59
Cheat Codes,Let Me Hold You (Turn Me On),Let Me Hold You (Turn Me On),2:42
Calvin Harris,Outside,Outside,3:47
Shakira,Grandes Exitos,Estoy Aquí - Stereo,3:55
The Libertines,Can't Stand Me Now,Never Never,2:26
Miranda!,Es Mentira,Romix,3:59
Miranda!,Es Mentira,Bailarina,4:39
Jax Jones,House Work,House Work,2:38
Tungevaag & Raaban,Samsara,Samsara,3:31
Cid,Sweet Memories,Sweet Memories,4:21
Florian Picasso,Sheitan,Sheitan,3:23
Kilian & Jo,Suburbia,Suburbia,4:15
South,Music from The O.C. Mix 1,Paint the Silence,5:53
BlasterJaxx,The Silmarillia,The Silmarillia,3:15
Rooney,Rooney,Simply Because,4:03
Rooney,Rooney,If It Were Up To Me,3:00
INXS,INXS Remastered,Need You Tonight,3:03
Miranda!,El Disco De Tu Corazón,Nada es igual,3:29
Jack Ü,Skrillex and Diplo Present Jack Ü,Beats Knockin (feat. Fly Boi Keno),2:53
ZL-Project,Loud 2017,Loud 2017,3:12
Belinda,Carpe Diem,Lolita,3:26
Miranda!,El Templo del Pop,Mi propia vida,3:45
Miranda!,Miranda es imposible!,Tu Mirada,3:22
Miranda!,El Templo del Pop Vol. 2,Mentía,3:37
Gwen Stefani,This Is What the Truth Feels Like,Me Without You,3:34
Miranda!,Safari,Fantasmas,3:42
Javiera Mena,Esquemas juveniles,Al siguiente nivel,4:04
Marineros,Torbellino,Torbellino,3:57
Firebeatz,Sir Duke,Sir Duke,2:39
Axwell,Belong,Belong,3:24
Cash Cash,Blood Sweat & 3 Years,Escarole,4:00
Julieta Venegas,Los Momentos,Vuelve,3:37
Gwen Stefani,Bankrupt!,The Real Thing,4:12
Portugal,Viajes de memoria,Nuestro Momento,3:52
Robyn,Robyn (Non-EU Version),With Every Heartbeat - with Kleerup,6:33
Morrissey,Vauxhall And I (20th Anniversary Definitive Master),Why Don't You Find Out For Yourself - 2014 Remastered Version,3:20
Lily Allen,Somewhere Only We Know,Somewhere Only We Know,3:28
Natalia Oreiro,Tu Veneno,Tu Veneno,3:00
Gwen Stefani,This Is What the Truth Feels Like,Where Would I Be?,3:18
Gwen Stefani,This Is What the Truth Feels Like,You're My Favorite,2:56
Richard Armitage,The Hobbit: An Unexpected Journey Original Motion Picture Soundtrack (International Version),Misty Mountains,1:42
Disclosure,Settle (Special Edition),Latch (feat. Sam Smith),4:19
Shakira,Live From Paris,Ojos Así - Live Version,4:31
Justin Bieber,Casino Twilight Dogs,Sorry,3:20
Grimes,Visions,Oblivion,4:11
Michael Bublé,To Be Loved,It's a Beautiful Day,3:20
Shakira,Can't Remember to Forget You,Can't Remember to Forget You,3:27
Ana Gabriel,Ana Gabriel Todos Sus Exitos,Simplemente Amigos,3:47
La Tigresa del Oriente,Mi lindo Perú,Date Placer con mi Cuerpo,5:03
Britney Spears,The Essential Britney Spears (Remastered),I Wanna Go,3:30
Miranda!,Safari,Fotos,2:34
Adele,21,Rumour Has It,3:43
The Sea and Cake,One Bedroom,Four Corners,5:44
Major Lazer,Peace Is the Mission,Lean On (feat. MØ & DJ Snake),2:57
The Cardigans,Best Of,Lovefool,3:16
Tom Jones,Reload,Sexbomb,3:31
Sara Bareilles,The Blessed Unrest,Brave,3:41
Tom Jones,Gold (1965 - 1975),She's A Lady,2:55
Maroon 5,Singles,This Love,3:26
Gwen Stefani,This Is What the Truth Feels Like,Red Flag,3:21
No Doubt,The Singles Collection (International Version),It's My Life,3:46
The Police,Ghost In The Machine (Remastered),Every Little Thing She Does Is Magic - 2003 Stereo Remastered Version,4:21
Dënver,Totoral,Insistes en volver,5:57
Julieta Venegas,Otra Cosa,Despedida,3:26
Adele,Hello,Hello,4:56
Sara Bareilles,Kaleidoscope Heart,King of Anything,3:25
No Doubt,The Singles Collection (International Version),Don't Speak,4:23
Lily Allen,It's Not Me It's You,I Could Say,4:05
Sara Bareilles,The Blessed Unrest,I Choose You,3:39
Michael Bublé,Hollywood the Deluxe Ep,Haven't Met You Yet - Live,5:22
Ke$ha,Warrior (Deluxe Version),Die Young,3:33
Kelly Clarkson,Stronger (Deluxe Version),Stronger (What Doesn't Kill You),3:42
Rihanna,Music Of The Sun (UK),Pon de Replay,3:34
All Saints,For My Mum,Pure Shores,4:28
Madonna,Celebration (double disc version),Hung Up,5:36
Eve,Hip Hop: The Collection 2008 [(Double) International Version],Tambourine,3:12
Michael Bublé,Hollywood the Deluxe Ep,Hollywood,4:14
Adele,21,Someone Like You,4:54
Gloria Estefan,Exitos de gloria estefan,Conga,4:11
Disclosure,Settle,You & Me (feat. Eliza Doolittle),4:42
Disclosure,Settle (Special Edition),Confess to Me (feat. Jessie Ware),4:10
Disclosure,Caracal,Jaded,3:47
Disclosure,Caracal,Omen,3:50
Death Cab for Cutie,Kintsugi,Binary Sea,4:05
Death Cab for Cutie,You Can Play These Songs With Chords,Line of Best Fit,7:16
Lily Allen,Alright Still,Littlest Things,3:02
Lily Allen,Sheezus,Close Your Eyes,3:37
Lily Allen,Alright Still [Deluxe],Take What You Take,4:06
Lily Allen,Alright Still,Shame for You,4:06
Lily Allen,It's Not Me It's You [Special Edition],Never Gonna Happen,3:28
Joseph Arthur,Music from The O.C. Mix 1,Honey and the Moon,4:44
Frankie Valli,The Very Best Of Frankie Valli & The 4 Seasons (US Release),Can't Take My Eyes Off You,2:58
Michael Bublé,Hollywood the Deluxe Ep,Best of Me,4:33
Gwen Stefani,Four,Truth,3:35
Nada Surf,Let Go,Blonde on Blonde,5:02
Gwen Stefani,This Is What the Truth Feels Like,Asking 4 It,3:31
Julieta Venegas,Si,Algo está cambiando,4:04
Javiera Mena,Otra Era,Quédate un ratito más,3:40
Modest Mouse,The Moon & Antarctica,The Cold Part,5:01
The Piano Guys,Wonders,Kung Fu Piano: Cello Ascends,4:06
The Piano Guys,The Piano Guys,Beethoven's 5 Secrets,5:09
John Barry,Dances With Wolves - Original Motion Picture Soundtrack,The John Dunbar Theme (film version),2:22
Die Antwoord,Donker Mag,Sex,4:36
The Fratellis,Costello Music,Chelsea Dagger,3:34
Ladyhawke,Ladyhawke,My Delirium,4:15
Morning Runner,Gone Up In Flames,Gone Up In Flames,2:53
Walk the Moon,Walk the Moon,Tightrope,4:03
The Drums,Portamento,Money,3:53
Arcade Fire,Funeral,Wake Up,5:35
The Black Keys,Gold on the Ceiling,Gold on the Ceiling,3:44
Grizzly Bear,Shields,Yet Again,5:18
The Walkmen,Bows + Arrows,The Rat,4:28
Tame Impala,Lonerism,Elephant,3:31
R.E.M.,Out Of Time (U.S. Version),Losing My Religion,4:29
The Strokes,Is This It,Last Nite,3:17
alt-J,An Awesome Wave,Something Good,3:38
Grimes,Entropy,Entropy,3:00
The xx,xx,Intro,2:08
The National,Trouble Will Find Me,Graceless,4:35
Miranda!,Miranda es imposible!,No Lo Digas,3:38
Miranda!,El Templo del Pop,Enamorada,3:12
Holden,Chevrotine,Ce que je suis,4:36
Mogwai,Happy Songs for Happy People,Kids Will Be Skeletons,5:29
BORAJ,La Costa EP,La Costa,5:06
A Silver Mt. Zion,Fuck Off Get Free We Pour Light On Everything,Little Ones Run,2:30
The Libertines,Time for Heroes - The Best of the Libertines,The Delaney,2:41
The Libertines,Time for Heroes - The Best of the Libertines,What Katie Did,3:51
The Libertines,Time for Heroes - The Best of the Libertines,Death on the Stairs,3:24
Maroon 5,Singles,Sugar,3:55
No Doubt,The Singles 1992-2003,Hella Good,4:02
Ellie Goulding,Halcyon Days,Beating Heart,3:34
Bee Gees,Mythology,Love So Right,3:37
Dominique Young Unique,Domination Reload Mixtape,Show My Ass,2:53
Miranda!,Magistral,Puro Talento,3:27
No Doubt,The Singles 1992-2003,Hey Baby,3:27
Pedropiedra,Emanuel,Lima,4:43
De Saloon,Mardenubes,DOMESTICAME,4:09
Prehistöricos,Nuestro Día Vendrá,Con Tu Cuerpo El Huracán,3:07
Miguel Bosé,Colección Definitiva,Nena,4:49
Madonna,The Confessions Tour (Int'l Only DMD),Sorry - Live,5:03
Madonna,The Confessions Tour (Int'l Only DMD),Like a Virgin - Live,4:13
Madonna,The Confessions Tour (Int'l Only DMD),Hung Up - Live,9:50
Javiera Mena,Esquemas juveniles,Cámara lenta,5:26
Javiera Mena,Esquemas juveniles,Perlas,5:25
Alessia Cara,Four Pink Walls,Outlaws,3:23
The Ting Tings,We Started Nothing,That's Not My Name,5:06
Ke$ha,Warrior (Deluxe Version),C'mon,3:34
Shakira,Live From Paris,Waka Waka (This Time For Africa) - Live Version,4:46
Shakira,Live From Paris,Inevitable - Live Version,3:36
Shakira,Live From Paris,Gypsy - Live Version,5:30
Shakira,Live From Paris,La Tortura - Live Version,3:42
Shakira,Live From Paris,Nothing Else Matters/Despedida Medley (Live From Paris) - Live Version,4:47
Shakira,Live From Paris,Underneath Your Clothes - Live Version,4:14
Shakira,Live From Paris,Loca - Live Version,3:07
Shakira,Live & Off the Record,Back In Black - Live,5:24
Lykke Li,Wounded Rhymes,I Follow Rivers,3:48
Ellie Goulding,Delirium (Deluxe),I Do What I Love,2:52
Yeah Yeah Yeahs,Project X (Original Motion Picture Soundtrack),Heads Will Roll (A-Trak Remix),6:22
Michael Bublé,To Be Loved,After All - feat. Bryan Adams,3:37
Julieta Venegas,Realmente Lo Mejor,Andar Conmigo,3:59
Justin Bieber,Purpose (Deluxe),Children,3:43
Meghan Trainor,Title (Deluxe),Like I'm Gonna Lose You,3:45
Shawn Mendes,Handwritten (Deluxe),Stitches,3:27
Justin Bieber,Purpose (Deluxe),Life Is Worth Living,3:55
Justin Bieber,Purpose (Deluxe),No Pressure,4:47
Lukas Graham,7 Years,7 Years,3:57
Selena Gomez,Good for You,Good for You,3:41
Justin Bieber,Purpose (Deluxe),No Sense,4:35
Justin Bieber,Purpose (Deluxe),I'll Show You,3:20
Justin Bieber,Purpose (Deluxe),Love Yourself,3:54
Drake,What a Time To Be Alive,Jumpman,3:26
One Direction,Made In the A.M. (Deluxe Edition),Drag Me Down,3:12
Drake,Hotline Bling,Hotline Bling,4:27
Fetty Wap,679 (feat. Remy Boyz),679 (Feat. Remy Boyz),3:16
Ed Sheeran,x (Deluxe Edition),Photograph,4:18
Alanis Morissette,The Collection (Standard Edition),You Oughta Know,4:12
Gloria Estefan and Miami Sound Machine,Exitos de gloria estefan,Conga,4:13
Julieta Venegas,Realmente Lo Mejor,Limón y Sal,3:26
Javiera Mena,Mena,No Te Cuesta Nada,4:03
Sara Bareilles,Little Voice,City,4:34
Sara Bareilles,Little Voice,Gravity,3:53
Crystal Fighters,Star Of Love + Acoustic Version,Plage,3:50
Sara Bareilles,Between The Lines: Sara Bareilles Live At The Fillmore,(Sittin' On) The Dock of the Bay - Live At The Fillmore Version,4:37
Fifth Harmony,Reflection (Deluxe),Top Down,3:40
Fifth Harmony,Worth It (Dame Esta Noche),Worth It (Dame Esta Noche),3:43
Gepe,GP,Un Gran Vacío,6:01
Miranda!,Magistral,Ya Lo Sabia,2:58
Miranda!,Magistral,Ritmo & Decepción,3:50
S Club 7,S Club,Bring It All Back,3:34
Jessie J,Who You Are,LaserLight,3:31
Katy Perry,One of the Boys,Hot n Cold,3:40
P!nk,Greatest Hits...So Far!!!,Stupid Girls,3:17
Fall Out Boy,Save Rock and Roll,Alone Together,3:23
Pitbull,Global Warming,Feel This Moment,3:50
The Chainsmokers,#SELFIE,#SELFIE,3:03
Fergie,Glamorous,Glamorous,4:08
Miley Cyrus,Bangerz (Deluxe Version),Do My Thang,3:45
Britney Spears,The Essential Britney Spears (Remastered),Everytime - Remastered,3:50
Britney Spears,The Essential Britney Spears (Remastered),Out from Under,3:54
Alex Anwandter,Rebeldes,Fin de Semana en el Cielo,4:13
Gloria Estefan,Original Album Classics,It's Too Late,3:57
Miranda!,Es Mentira,Casualidad,5:34
Macklemore & Ryan Lewis,The Heist,Can't Hold Us (feat. Ray Dalton),4:18
Britney Spears,The Singles Collection,Boys (The Co-Ed Remix) - Remastered,3:45
Madonna,Ten,Jump,3:47
Jennifer Lopez,J.Lo,Love Don't Cost a Thing,3:42
Lady Gaga,Born This Way (International Special Edition Version),Born This Way,4:20
Girls Aloud,Ten (Deluxe Edition),Sound of the Underground,3:41
Iggy Azalea,The New Classic,Black Widow,3:18
Justin Timberlake,FutureSex/LoveSounds,SexyBack,4:02
Iggy Azalea,Anti (Deluxe),Work,3:43
ABBA,ABBA Gold,Mamma Mia,3:32
Fergie,The Dutchess (Deluxe International Version),Fergalicious,3:45
Cher Lloyd,With Ur Love,With Ur Love,3:45
Cheryl,I Don't Care,I Don't Care,4:00
Nicole Scherzinger,Don't Hold Your Breath,Don't Hold Your Breath,3:17
Neon Jungle,Braveheart,Braveheart,3:29
Mika,Life in Cartoon Motion,Lollipop,3:03
Demi Lovato,Heart Attack,Heart Attack,3:31
Alexis Jordan,Happiness,Happiness,4:03
Little Mix,Wings,Wings,3:39
Shakira,She Wolf,She Wolf,3:08
Avril Lavigne,The Best Damn Thing,Girlfriend - Radio Edit,3:37
Rihanna,FourFiveSeconds,FourFiveSeconds,3:08
Natalia Kills,Mirrors,Mirrors,4:15
The Weather Girls,100 Hits of the '80s,It's Raining Men,3:31
Elektra,I Don´t Do Boys,I Don´t Do Boys,2:49
Demi Lovato,Demi,Really Don't Care,3:22
Madonna,Celebration,Lucky Star,5:34
Pitbull,Timber,Timber,3:24
Little Mix,Donkey,Move,3:42
Nicole Scherzinger,Poison,Poison - New Main Version,3:48
Backstreet Boys,Millennium,I Want It That Way,3:34
Cher,Cher's Greatest Hits: 1965-1992,If I Could Turn Back Time,4:01
Beyoncé,4,End of Time,3:44
Peter Andre,Return of the 90s,Mysterious Girl,3:37
Shania Twain,Come on Over,Man! I Feel Like a Woman!,3:53
